2026-07-05 12:53:43,102 | INFO     | bot.main | Initialising database…
2026-07-05 12:53:44,225 | INFO     | data.db | Schema applied
2026-07-05 12:53:44,304 | INFO     | data.db | Database ready
2026-07-05 12:53:47,486 | INFO     | dashboard.app | Dashboard → http://localhost:8080
2026-07-05 12:54:03,084 | INFO     | exchange.price_stream | Price stream started
2026-07-05 12:54:03,140 | INFO     | exchange.orders | [PAPER] Reconciled 3 open position(s): $4,123.13 deployed, $-133.94 realized, $5,742.93 cash free
2026-07-05 12:54:03,145 | INFO     | bot.orchestrator | Applying optimizer tuning to ema_cross: {'stop_atr': 2.25, 'tp_atr': 8.0, 'adx_min': 25}
2026-07-05 12:54:03,752 | ERROR    | data.symbol_selector | Symbol discovery failed: binance {"code":-2015,"msg":"Invalid API-key, IP, or permissions for action."}
2026-07-05 12:54:03,769 | INFO     | exchange.liquidation_feed | Liquidation feed started
2026-07-05 12:54:03,820 | INFO     | exchange.trade_flow | Trade-flow stream started (8 symbols, 60s window)
2026-07-05 12:54:03,822 | INFO     | bot.scalp_engine | Sniper scalp engine started — exits every 3s, entry scans every 20s
2026-07-05 12:54:03,823 | INFO     | bot.orchestrator | Claudebot starting — mode=PAPER symbols=8
2026-07-05 12:54:04,647 | INFO     | websocket | Websocket connected
2026-07-05 12:54:05,285 | INFO     | websocket | Websocket connected
2026-07-05 12:54:05,286 | INFO     | websocket | Websocket connected
2026-07-05 12:54:13,315 | INFO     | bot.orchestrator | Balance: $9,865.19
2026-07-05 12:54:13,316 | INFO     | bot.orchestrator | Retraining ML models…
2026-07-05 12:54:13,347 | INFO     | ml.trainer | xgb_scalp: insufficient data (5/50)
2026-07-05 12:54:13,398 | INFO     | ml.trainer | xgb_swing: insufficient data (0/50)
2026-07-05 12:54:13,399 | WARNING  | bot.orchestrator | Price stream is STALE (>30s without a message) — exits are falling back to REST prices
2026-07-05 12:54:14,843 | INFO     | risk.guards | Daily risk guards reset
2026-07-05 12:54:16,134 | INFO     | bot.notifier | [NOTIFY] 📈 *Daily Report*
Balance: `$9,865.19`
PnL: `$+0.00` | Win Rate: `0.0%`
Trades: `0`
2026-07-05 12:54:19,719 | INFO     | exchange.orders | [PAPER] TRIM 50% 283.056273 NEAR/USDT @ 1.9426
2026-07-05 12:54:25,322 | INFO     | strategies.grid | Grid AVAX/USDT: center=6.8460 spacing=0.424% levels=12
2026-07-05 12:54:37,259 | INFO     | exchange.orders | [PAPER] Wallet reset to $10,000.00
2026-07-05 12:54:37,260 | INFO     | risk.guards | Daily risk guards reset
2026-07-05 12:54:37,260 | INFO     | dashboard.app | [DASHBOARD] Paper reset complete — fresh wallet, clean history
2026-07-05 12:54:59,882 | INFO     | bot.orchestrator | Stopped by user — shutting down gracefully…
2026-07-05 12:55:01,242 | INFO     | bot.orchestrator | Shutdown complete
2026-07-05 12:55:07,174 | INFO     | bot.main | Initialising database…
2026-07-05 12:55:07,940 | INFO     | data.db | Schema applied
2026-07-05 12:55:07,966 | INFO     | data.db | Database ready
2026-07-05 12:55:09,374 | INFO     | dashboard.app | Dashboard → http://localhost:8080
2026-07-05 12:55:20,704 | INFO     | exchange.price_stream | Price stream started
2026-07-05 12:55:20,712 | INFO     | bot.orchestrator | Applying optimizer tuning to ema_cross: {'stop_atr': 2.25, 'tp_atr': 8.0, 'adx_min': 25}
2026-07-05 12:55:21,280 | ERROR    | data.symbol_selector | Symbol discovery failed: binance {"code":-2015,"msg":"Invalid API-key, IP, or permissions for action."}
2026-07-05 12:55:21,286 | INFO     | exchange.liquidation_feed | Liquidation feed started
2026-07-05 12:55:21,295 | INFO     | exchange.trade_flow | Trade-flow stream started (8 symbols, 60s window)
2026-07-05 12:55:21,306 | INFO     | bot.scalp_engine | Sniper scalp engine started — exits every 3s, entry scans every 20s
2026-07-05 12:55:21,309 | INFO     | bot.orchestrator | Claudebot starting — mode=PAPER symbols=8
2026-07-05 12:55:21,312 | INFO     | bot.orchestrator | Balance: $10,000.00
2026-07-05 12:55:21,314 | INFO     | bot.orchestrator | Retraining ML models…
2026-07-05 12:55:21,648 | INFO     | ml.trainer | xgb_scalp: insufficient data (0/50)
2026-07-05 12:55:21,716 | INFO     | ml.trainer | xgb_swing: insufficient data (0/50)
2026-07-05 12:55:21,717 | WARNING  | bot.orchestrator | Price stream is STALE (>30s without a message) — exits are falling back to REST prices
2026-07-05 12:55:21,717 | INFO     | risk.guards | Daily risk guards reset
2026-07-05 12:55:21,809 | INFO     | bot.notifier | [NOTIFY] 📈 *Daily Report*
Balance: `$10,000.00`
PnL: `$+0.00` | Win Rate: `0.0%`
Trades: `0`
2026-07-05 12:55:22,538 | INFO     | websocket | Websocket connected
2026-07-05 12:55:22,964 | INFO     | websocket | Websocket connected
2026-07-05 12:55:22,988 | INFO     | websocket | Websocket connected
2026-07-05 12:56:02,171 | INFO     | strategies.grid | Grid AVAX/USDT: center=6.8520 spacing=0.424% levels=12
